Order ID,Product_Name,Product_Category,Quantity,Price,Sales_Amount,Date
10001,"Shirt, Large",Clothing,2,25.99,51.98,2023-01-01
10002,"Hat, Black",Accessories,1,19.99,19.99,2023-01-02
10003,"Trousers, Blue",Clothing,1,39.99,39.99,2023-01-03
10004,"Shirt, Medium",Clothing,3,25.99,77.97,2023-01-04
10005,"Shoes, Running",Footwear,1,79.99,79.99,2023-01-05
10006,"Hat, White",Accessories,2,19.99,39.98,2023-01-06
10007,"T-shirt, Red",Clothing,1,14.99,14.99,2023-01-07
10008,"Jacket, Winter",Clothing,1,99.99,99.99,2023-01-10
10009,"Watch, Digital",Accessories,1,49.99,49.99,2023-01-12
10010,"Sweatshirt, Gray",Clothing,2,34.99,69.98,2023-01-15
10011,"Bag, Backpack",Accessories,1,59.99,59.99,2023-01-18
10012,"Jeans, Straight",Clothing,1,44.99,44.99,2023-01-20
10013,"Sunglasses, Black",Accessories,1,29.99,29.99,2023-01-21
10014,"Dress, Black",Clothing,1,64.99,64.99,2023-01-25
10015,"Belt, Leather",Accessories,1,19.99,19.99,2023-01-27
10016,"Shirt, X-Large",Clothing,1,25.99,25.99,2023-02-01
10017,"Socks, Pack of 3",Accessories,2,9.99,19.98,2023-02-02
10018,"Scarf",Accessories,1,14.99,14.99,2023-02-03
10019,"Sweater, Blue",Clothing,1,49.99,49.99,2023-02-06
10020,"Wallet, Leather",Accessories,1,34.99,34.99,2023-02-08
10021,"Sweater, Red",Clothing,2,25.00,50.00,2023-02-10
10022,"Gloves, Winter",Accessories,2,12.99,25.98,2023-02-12
10023,"T-shirt, Blue",Clothing,2,14.99,29.98,2023-02-14
10024,"Boots, Leather",Footwear,1,119.99,119.99,2023-02-16
10025,"Hat, Knit",Accessories,1,15.99,15.99,2023-02-18
10026,"Jacket, Denim",Clothing,1,89.99,89.99,2023-02-20
10027,"Sunglasses, Aviator",Accessories,1,39.99,39.99,2023-02-22
10028,"Dress, Summer",Clothing,2,54.99,109.98,2023-02-24
10029,"Sandals",Footwear,1,29.99,29.99,2023-02-26
10030,"Shirt, Flannel",Clothing,2,22.99,45.98,2023-02-28
10031,"Watch, Classic",Accessories,1,79.99,79.99,2023-03-01
10032,"Jeans, Slim",Clothing,1,49.99,49.99,2023-03-03
10033,"Scarf, Wool",Accessories,2,19.99,39.98,2023-03-05
10034,"Sneakers, White",Footwear,1,69.99,69.99,2023-03-07
10035,"Trousers, Chino",Clothing,1,34.99,34.99,2023-03-09
10036,"Bag, Tote",Accessories,1,44.99,44.99,2023-03-11
10037,"Sweater, Gray",Clothing,2,49.99,99.98,2023-03-13
10038,"Belt, Canvas",Accessories,1,14.99,14.99,2023-03-15
10039,"Shirt, Polo",Clothing,3,24.99,74.97,2023-03-17
10040,"Heels, Black",Footwear,1,59.99,59.99,2023-03-19
10041,"Cap, Baseball",Accessories,1,12.99,12.99,2023-03-21
10042,"Hoodie, Black",Clothing,1,44.99,44.99,2023-03-23
10043,"Socks, Wool",Accessories,2,12.99,25.98,2023-03-25
10044,"Coat, Trench",Clothing,1,129.99,129.99,2023-03-27
10045,"Earrings",Accessories,1,24.99,24.99,2023-03-29
10046,"Shorts, Denim",Clothing,1,29.99,29.99,2023-03-31
10047,"Runners, Blue",Footwear,1,89.99,89.99,2023-04-02
10048,"Pajamas",Clothing,1,34.99,34.99,2023-04-04
10049,"Umbrella",Accessories,1,19.99,19.99,2023-04-06
10050,"Tie, Silk",Accessories,1,18.99,18.99,2023-04-08
10051,"Cardigan, Beige",Clothing,1,54.99,54.99,2023-04-10
